Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Sde-AMat_047-SdA01047-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_048-SdA01048-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_048-SdA01048-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_049-SdA01049-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_049-SdA01049-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_050-SdA01050-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_050-SdA01050-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_051-SdA01051-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_051-SdA01051-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_052-SdA01052-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_052-SdA01052-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_053-SdA01053-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_053-SdA01053-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_054-SdA01054-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_054-SdA01054-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_055-SdA01055-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_055-SdA01055-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_056-SdA01056-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_056-SdA01056-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_057-SdA01057-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_057-SdA01057-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_059-SdA01059-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_059-SdA01059-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_060-SdA01060-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_060-SdA01060-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_061-SdA01061-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_061-SdA01061-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_062-SdA01062-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_062-SdA01062-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_063-SdA01063-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_063-SdA01063-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_064-SdA01064-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_064-SdA01064-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_065-SdA01065-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_065-SdA01065-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_066-SdA01066-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_066-SdA01066-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_067-SdA01067-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_067-SdA01067-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_068-SdA01068-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_068-SdA01068-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_069-SdA01069-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_069-SdA01069-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_071-SdA01071-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_071-SdA01071-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_072-SdA01072-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_072-SdA01072-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_073-SdA01073-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_073-SdA01073-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_074-SdA01074-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_074-SdA01074-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_075-SdA01075-L2-clmp-fp2-repr.R1	0.0	0.0
