Sample	Protists_1k	Human	Fungi_RefSeq_release	Plant	Bird	Coral	Bacteria_24k	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
SdA02047_CKDL210020579-1a-5UDI245-AK7533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1.0	1.0	1.0	1.0	0.0	0.0	13.0	0.0	0.0	0.0	7.0	239230.0
SdA02047_CKDL210020579-1a-5UDI245-AK7533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	3.0	1.0	2.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	9.0	239230.0
SdA02048_CKDL210020579-1a-5UDI245-AK7549_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	7.0	1.0	1.0	1.0	0.0	0.0	28.0	0.0	0.0	0.0	17.0	549207.0
SdA02048_CKDL210020579-1a-5UDI245-AK7549_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	8.0	0.0	1.0	0.0	1.0	0.0	38.0	0.0	0.0	0.0	7.0	549207.0
SdA02049_CKDL210020579-1a-AK7078-GD07_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	128.0	15.0	19.0	5.0	7.0	1.0	6.0	0.0	0.0	0.0	33.0	534759.0
SdA02049_CKDL210020579-1a-AK7078-GD07_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	97.0	14.0	21.0	10.0	5.0	0.0	8.0	1.0	0.0	0.0	5.0	534812.0
SdA02050_CKDL210020579-1a-5UDI301-AK7533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	132.0	25.0	26.0	9.0	7.0	4.0	9.0	1.0	1.0	0.0	36.0	623507.0
SdA02050_CKDL210020579-1a-5UDI301-AK7533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	116.0	23.0	12.0	10.0	6.0	1.0	11.0	1.0	1.0	0.0	7.0	623569.0
SdA02051_CKDL210020579-1a-5UDI225-AK7096_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	61.0	3.0	5.0	7.0	6.0	0.0	16.0	1.0	0.0	0.0	2.0	333396.0
SdA02051_CKDL210020579-1a-5UDI225-AK7096_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	44.0	3.0	16.0	3.0	2.0	0.0	14.0	1.0	0.0	0.0	18.0	333396.0
SdA02052_CKDL210020579-1a-AK9143-7UDI304_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	184.0	29.0	24.0	12.0	3.0	7.0	11.0	1.0	0.0	0.0	45.0	788888.0
SdA02052_CKDL210020579-1a-AK9143-7UDI304_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	149.0	23.0	27.0	8.0	4.0	3.0	8.0	3.0	0.0	0.0	12.0	788967.0
SdA02053_CKDL210020579-1a-5UDI301-AK7549_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	174.0	20.0	15.0	9.0	6.0	1.0	14.0	3.0	0.0	0.0	10.0	628893.0
SdA02053_CKDL210020579-1a-5UDI301-AK7549_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	129.0	23.0	24.0	6.0	4.0	2.0	21.0	4.0	0.0	0.0	39.0	628893.0
SdA02054_CKDL210020579-1a-AK7758-7UDI286_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	93.0	19.0	16.0	5.0	5.0	0.0	14.0	0.0	0.0	0.0	33.0	460534.0
SdA02054_CKDL210020579-1a-AK7758-7UDI286_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	84.0	18.0	8.0	8.0	2.0	1.0	14.0	0.0	0.0	0.0	4.0	460580.0
SdA02055_CKDL210020579-1a-5UDI301-AK845_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	104.0	26.0	30.0	10.0	7.0	5.0	8.0	6.0	0.0	0.0	24.0	547357.0
SdA02055_CKDL210020579-1a-5UDI301-AK845_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	103.0	18.0	18.0	4.0	5.0	2.0	8.0	0.0	0.0	0.0	7.0	547412.0
SdA02056_CKDL210020579-1a-5UDI225-7UDI286_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	55.0	7.0	8.0	5.0	6.0	0.0	18.0	1.0	0.0	0.0	-10.0	445470.0
SdA02056_CKDL210020579-1a-5UDI225-7UDI286_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	47.0	10.0	6.0	8.0	2.0	0.0	20.0	0.0	0.0	0.0	-3.0	445470.0
SdA02057_CKDL210020579-1a-5UDI225-AK7533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	12.0	2.0	5.0	0.0	1.0	1.0	8.0	1.0	0.0	0.0	9.0	97331.0
SdA02057_CKDL210020579-1a-5UDI225-AK7533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	9.0	3.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	97350.0
SdA02058_CKDL210020579-1a-5UDI301-AK7099_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	104.0	20.0	18.0	10.0	10.0	7.0	1.0	1.0	0.0	0.0	23.0	387025.0
SdA02058_CKDL210020579-1a-5UDI301-AK7099_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	103.0	13.0	11.0	3.0	2.0	3.0	3.0	3.0	0.0	0.0	14.0	387064.0
SdA02059_CKDL210020579-1a-5UDI225-AK7549_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	72.0	12.0	20.0	6.0	5.0	3.0	7.0	1.0	0.0	0.0	20.0	207867.0
SdA02059_CKDL210020579-1a-5UDI225-AK7549_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	64.0	15.0	13.0	4.0	2.0	2.0	11.0	1.0	0.0	0.0	13.0	207888.0
SdA02060_CKDL210020579-1a-AK7758-AK7533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	108.0	12.0	19.0	6.0	6.0	3.0	17.0	1.0	0.0	0.0	13.0	368971.0
SdA02060_CKDL210020579-1a-AK7758-AK7533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	85.0	15.0	16.0	4.0	1.0	0.0	17.0	2.0	0.0	0.0	8.0	369008.0
SdA02061_CKDL210020579-1a-5UDI301-GD07_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	217.0	40.0	39.0	14.0	4.0	5.0	8.0	2.0	2.0	0.0	32.0	517004.0
SdA02061_CKDL210020579-1a-5UDI301-GD07_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	198.0	29.0	27.0	11.0	4.0	5.0	6.0	4.0	0.0	0.0	27.0	517056.0
SdA02062_CKDL210020579-1a-5UDI225-AK845_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	20.0	6.0	4.0	1.0	3.0	1.0	34.0	0.0	1.0	0.0	-10.0	592047.0
SdA02062_CKDL210020579-1a-5UDI225-AK845_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	7.0	2.0	2.0	0.0	1.0	0.0	38.0	1.0	0.0	0.0	9.0	592047.0
SdA02063_CKDL210020579-1a-5UDI225-AK7099_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	53.0	19.0	15.0	6.0	2.0	7.0	15.0	0.0	0.0	0.0	13.0	323624.0
SdA02063_CKDL210020579-1a-5UDI225-AK7099_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	74.0	9.0	15.0	4.0	2.0	3.0	6.0	1.0	0.0	0.0	16.0	323624.0
SdA02064_CKDL210020579-1a-AK7758-7UDI304_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	176.0	30.0	31.0	10.0	7.0	3.0	27.0	1.0	0.0	0.0	16.0	750326.0
SdA02064_CKDL210020579-1a-AK7758-7UDI304_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	140.0	32.0	21.0	13.0	6.0	2.0	27.0	1.0	0.0	0.0	59.0	750326.0
SdA02065_CKDL210020579-1a-5UDI225-GD07_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	21.0	10.0	7.0	2.0	0.0	0.0	35.0	0.0	0.0	0.0	-20.0	540889.0
SdA02065_CKDL210020579-1a-5UDI225-GD07_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	20.0	6.0	6.0	1.0	1.0	0.0	34.0	0.0	0.0	0.0	-13.0	540889.0
SdC01001_CKDL210020579-1a-AK3905-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	684.0	142.0	104.0	69.0	40.0	31.0	14.0	6.0	0.0	0.0	129.0	2435525.0
SdC01001_CKDL210020579-1a-AK3905-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	682.0	132.0	121.0	48.0	46.0	29.0	16.0	8.0	0.0	0.0	137.0	2435525.0
SdC01002_CKDL210020579-1a-AK3905-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1694.0	342.0	278.0	147.0	129.0	68.0	38.0	36.0	1.0	0.0	573.0	5505424.0
SdC01002_CKDL210020579-1a-AK3905-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1700.0	374.0	245.0	116.0	104.0	58.0	22.0	19.0	1.0	0.0	116.0	5505975.0
SdC01003_CKDL210020579-1a-AK7759-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1054.0	219.0	157.0	71.0	50.0	23.0	27.0	18.0	0.0	0.0	165.0	2971167.0
SdC01003_CKDL210020579-1a-AK7759-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	987.0	192.0	151.0	93.0	65.0	31.0	14.0	23.0	0.0	0.0	228.0	2971167.0
SdC01004_CKDL210020579-1a-AK9142-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	332.0	55.0	46.0	26.0	21.0	10.0	3.0	5.0	0.0	0.0	41.0	896420.0
SdC01004_CKDL210020579-1a-AK9142-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	298.0	48.0	45.0	24.0	20.0	16.0	5.0	5.0	0.0	0.0	78.0	896420.0
SdC01005_CKDL210020579-1a-AK7761-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	840.0	174.0	104.0	52.0	54.0	26.0	20.0	6.0	0.0	0.0	136.0	2350455.0
SdC01005_CKDL210020579-1a-AK7761-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	793.0	146.0	134.0	47.0	46.0	23.0	13.0	18.0	0.0	0.0	192.0	2350455.0
SdC01006_CKDL210020579-1a-AK6881-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	924.0	196.0	139.0	62.0	45.0	37.0	21.0	8.0	0.0	0.0	216.0	2743613.0
SdC01006_CKDL210020579-1a-AK6881-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	854.0	197.0	128.0	58.0	51.0	34.0	12.0	18.0	0.0	0.0	296.0	2743613.0
SdC01007_CKDL210020579-1a-AK9142-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	926.0	207.0	149.0	65.0	53.0	29.0	12.0	15.0	0.0	0.0	116.0	2617969.0
SdC01007_CKDL210020579-1a-AK9142-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	965.0	209.0	134.0	70.0	63.0	27.0	21.0	15.0	0.0	0.0	68.0	2617969.0
SdC01008_CKDL210020579-1a-AK6881-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1984.0	402.0	354.0	128.0	122.0	55.0	37.0	30.0	0.0	0.0	404.0	5855658.0
SdC01008_CKDL210020579-1a-AK6881-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1745.0	373.0	333.0	143.0	115.0	54.0	23.0	34.0	0.0	0.0	110.0	5856244.0
SdC01009_CKDL210020579-1a-AK7010-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1956.0	402.0	326.0	123.0	115.0	71.0	28.0	28.0	0.0	0.0	193.0	4627468.0
SdC01009_CKDL210020579-1a-AK7010-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1795.0	378.0	294.0	112.0	108.0	42.0	42.0	21.0	0.0	0.0	450.0	4627468.0
SdC01010_CKDL210020579-1a-5UDI298-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1632.0	329.0	279.0	124.0	111.0	55.0	35.0	28.0	0.0	0.0	273.0	4772935.0
SdC01010_CKDL210020579-1a-5UDI298-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1589.0	291.0	225.0	126.0	94.0	56.0	26.0	24.0	1.0	0.0	434.0	4772935.0
SdC01011_CKDL210020579-1a-AK3905-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	2177.0	428.0	384.0	152.0	121.0	88.0	52.0	46.0	0.0	0.0	319.0	6273784.0
SdC01011_CKDL210020579-1a-AK3905-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	2138.0	427.0	348.0	154.0	118.0	78.0	51.0	42.0	0.0	0.0	411.0	6273784.0
SdC01012_CKDL210020579-1a-AK8587-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1228.0	230.0	190.0	108.0	65.0	55.0	30.0	28.0	0.0	0.0	364.0	3279701.0
SdC01012_CKDL210020579-1a-AK8587-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1147.0	251.0	202.0	96.0	68.0	50.0	29.0	19.0	0.0	0.0	108.0	3280029.0
SdC01013_CKDL210020579-1a-AK9141-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1116.0	211.0	182.0	66.0	76.0	29.0	20.0	19.0	0.0	0.0	303.0	3367848.0
SdC01013_CKDL210020579-1a-AK9141-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1074.0	217.0	197.0	72.0	87.0	52.0	25.0	15.0	0.0	0.0	283.0	3367848.0
SdC01014_CKDL210020579-1a-AK6260-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1985.0	412.0	348.0	161.0	110.0	71.0	32.0	37.0	0.0	0.0	410.0	5089369.0
SdC01014_CKDL210020579-1a-AK6260-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1899.0	379.0	286.0	133.0	108.0	66.0	39.0	31.0	0.0	0.0	115.0	5089879.0
SdC01015_CKDL210020579-1a-AK6260-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1572.0	297.0	254.0	125.0	96.0	57.0	46.0	14.0	0.0	0.0	397.0	4079311.0
SdC01016_CKDL210020579-1a-AK8587-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1114.0	223.0	178.0	115.0	74.0	47.0	30.0	15.0	0.0	0.0	59.0	3088842.0
SdC01016_CKDL210020579-1a-AK8587-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1168.0	273.0	212.0	89.0	73.0	39.0	21.0	23.0	0.0	0.0	266.0	3088533.0
SdC01017_CKDL210020579-1a-AK7759-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1782.0	370.0	298.0	129.0	114.0	92.0	29.0	27.0	0.0	0.0	104.0	4904206.0
SdC01017_CKDL210020579-1a-AK7759-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1694.0	373.0	299.0	124.0	116.0	55.0	39.0	28.0	1.0	0.0	216.0	4904206.0
SdC01018_CKDL210020579-1a-AK8587-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	398.0	81.0	69.0	35.0	22.0	13.0	5.0	4.0	0.0	0.0	73.0	1165014.0
SdC01018_CKDL210020579-1a-AK8587-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	399.0	82.0	67.0	25.0	21.0	14.0	9.0	4.0	0.0	0.0	79.0	1165014.0
SdC01020_CKDL210020579-1a-AK6881-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	498.0	96.0	69.0	37.0	21.0	13.0	13.0	5.0	0.0	0.0	50.0	1334686.0
SdC01020_CKDL210020579-1a-AK6881-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	462.0	116.0	73.0	32.0	18.0	23.0	3.0	1.0	0.0	0.0	74.0	1334686.0
SdC01021_CKDL210020579-1a-AK9141-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1495.0	291.0	217.0	100.0	80.0	45.0	23.0	24.0	0.0	0.0	412.0	3834618.0
SdC01021_CKDL210020579-1a-AK9141-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1281.0	277.0	194.0	81.0	76.0	46.0	26.0	18.0	0.0	0.0	304.0	3835002.0
SdC01022_CKDL210020579-1a-AK6260-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1027.0	207.0	163.0	59.0	46.0	23.0	19.0	16.0	0.0	0.0	145.0	2432857.0
SdC01022_CKDL210020579-1a-AK6260-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	859.0	186.0	159.0	67.0	56.0	36.0	15.0	14.0	0.0	0.0	69.0	2433101.0
SdC01023_CKDL210020579-1a-AK6260-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1873.0	347.0	291.0	110.0	82.0	72.0	29.0	24.0	0.0	0.0	471.0	4709187.0
SdC01023_CKDL210020579-1a-AK6260-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1734.0	366.0	294.0	108.0	90.0	48.0	36.0	35.0	0.0	0.0	117.0	4709658.0
SdC01024_CKDL210020579-1a-AK7761-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1704.0	328.0	291.0	124.0	124.0	58.0	34.0	23.0	0.0	0.0	234.0	4862930.0
SdC01024_CKDL210020579-1a-AK7761-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1564.0	363.0	253.0	116.0	95.0	57.0	36.0	24.0	0.0	0.0	412.0	4862930.0
SdC01025_CKDL210020579-1a-AK9141-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	911.0	184.0	109.0	55.0	46.0	28.0	14.0	6.0	0.0	0.0	235.0	2266504.0
SdC01025_CKDL210020579-1a-AK9141-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	760.0	146.0	130.0	53.0	48.0	30.0	20.0	8.0	0.0	0.0	166.0	2266731.0
SdC01026_CKDL210020579-1a-AK9142-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	66.0	13.0	14.0	1.0	3.0	1.0	5.0	1.0	0.0	0.0	13.0	193800.0
SdC01026_CKDL210020579-1a-AK9142-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	77.0	20.0	12.0	4.0	6.0	1.0	3.0	0.0	0.0	0.0	13.0	193781.0
SdC01027_CKDL210020579-1a-AK8410-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1086.0	203.0	158.0	79.0	54.0	39.0	23.0	13.0	0.0	0.0	89.0	2903894.0
SdC01027_CKDL210020579-1a-AK8410-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	993.0	205.0	163.0	88.0	57.0	29.0	20.0	20.0	0.0	0.0	169.0	2903894.0
SdC01028_CKDL210020579-1a-AK8410-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	760.0	157.0	99.0	49.0	50.0	29.0	21.0	8.0	0.0	0.0	228.0	1999105.0
SdC01028_CKDL210020579-1a-AK8410-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	674.0	160.0	114.0	55.0	44.0	31.0	33.0	7.0	1.0	0.0	82.0	1999305.0
SdC01029_CKDL210020579-1a-AK8410-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1552.0	276.0	231.0	109.0	104.0	67.0	42.0	25.0	0.0	0.0	445.0	4069652.0
SdC01029_CKDL210020579-1a-AK8410-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1380.0	279.0	222.0	86.0	89.0	50.0	25.0	22.0	0.0	0.0	291.0	4070059.0
SdC01030_CKDL210020579-1a-AK7759-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	297.0	72.0	51.0	21.0	14.0	9.0	3.0	5.0	0.0	0.0	83.0	791368.0
SdC01030_CKDL210020579-1a-AK7759-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	270.0	49.0	40.0	15.0	14.0	7.0	3.0	2.0	0.0	0.0	76.0	791447.0
SdC01031_CKDL210020579-1a-AK9142-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	2477.0	472.0	379.0	178.0	145.0	76.0	43.0	29.0	0.0	0.0	383.0	6965375.0
SdC01031_CKDL210020579-1a-AK9142-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	2274.0	464.0	352.0	166.0	138.0	80.0	51.0	35.0	0.0	0.0	622.0	6965375.0
SdC01032_CKDL210020579-1a-AK6260-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1357.0	251.0	217.0	120.0	68.0	43.0	18.0	15.0	0.0	0.0	359.0	3057399.0
SdC01032_CKDL210020579-1a-AK6260-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1229.0	251.0	221.0	73.0	70.0	50.0	30.0	10.0	0.0	0.0	208.0	3057705.0
SdC01033_CKDL210020579-1a-AK9141-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1234.0	262.0	185.0	98.0	77.0	38.0	17.0	24.0	0.0	0.0	110.0	3404986.0
SdC01033_CKDL210020579-1a-AK9141-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1275.0	231.0	163.0	64.0	58.0	57.0	16.0	26.0	0.0	0.0	155.0	3404986.0
SdC01034_CKDL210020579-1a-AK6260-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	2231.0	423.0	378.0	137.0	132.0	83.0	50.0	25.0	0.0	0.0	283.0	6231409.0
SdC01034_CKDL210020579-1a-AK6260-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	2080.0	462.0	347.0	140.0	112.0	60.0	34.0	36.0	0.0	0.0	471.0	6231409.0
SdC01035_CKDL210020579-1a-AK7759-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	651.0	126.0	105.0	42.0	49.0	26.0	12.0	11.0	0.0	0.0	147.0	1945714.0
SdC01035_CKDL210020579-1a-AK7759-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	618.0	142.0	93.0	55.0	41.0	22.0	9.0	18.0	0.0	0.0	171.0	1945714.0
SdC01036_CKDL210020579-1a-AK7010-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	567.0	114.0	87.0	42.0	30.0	22.0	22.0	12.0	0.0	0.0	114.0	1441745.0
SdC01036_CKDL210020579-1a-AK7010-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	590.0	113.0	98.0	36.0	33.0	16.0	14.0	12.0	2.0	0.0	96.0	1441745.0
SdC01037_CKDL210020579-1a-AK9142-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	566.0	107.0	87.0	33.0	35.0	25.0	12.0	6.0	0.0	0.0	107.0	1629009.0
SdC01037_CKDL210020579-1a-AK9142-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	494.0	94.0	89.0	49.0	30.0	18.0	11.0	8.0	0.0	0.0	185.0	1629009.0
SdC01038_CKDL210020579-1a-AK7010-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1370.0	265.0	197.0	92.0	74.0	44.0	23.0	17.0	0.0	0.0	272.0	2939417.0
SdC01038_CKDL210020579-1a-AK7010-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1203.0	250.0	193.0	69.0	70.0	35.0	25.0	25.0	0.0	0.0	190.0	2939711.0
SdC01039_CKDL210020579-1a-AK6260-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	241.0	45.0	46.0	7.0	4.0	12.0	3.0	1.0	0.0	0.0	45.0	576105.0
SdC01039_CKDL210020579-1a-AK6260-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	192.0	50.0	40.0	19.0	10.0	4.0	5.0	4.0	0.0	0.0	22.0	576163.0
SdC01040_CKDL210020579-1a-AK7761-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	2485.0	500.0	415.0	214.0	155.0	110.0	40.0	38.0	0.0	0.0	335.0	6125756.0
SdC01040_CKDL210020579-1a-AK7761-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	2378.0	489.0	417.0	210.0	148.0	101.0	57.0	39.0	0.0	0.0	453.0	6125756.0
SdC01041_CKDL210020579-1a-AK8410-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1624.0	316.0	266.0	104.0	102.0	48.0	27.0	26.0	1.0	0.0	397.0	4154888.0
SdC01041_CKDL210020579-1a-AK8410-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1573.0	343.0	252.0	134.0	81.0	39.0	32.0	23.0	1.0	0.0	433.0	4154888.0
SdC01042_CKDL210020579-1a-AK8410-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	519.0	108.0	95.0	37.0	35.0	16.0	11.0	5.0	0.0	0.0	59.0	1472950.0
SdC01042_CKDL210020579-1a-AK8410-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	524.0	99.0	93.0	48.0	28.0	17.0	8.0	7.0	0.0	0.0	61.0	1472950.0
SdC01043_CKDL210020579-1a-AK7761-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	740.0	141.0	135.0	69.0	42.0	28.0	19.0	13.0	0.0	0.0	77.0	1578121.0
SdC01043_CKDL210020579-1a-AK7761-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	736.0	170.0	125.0	50.0	39.0	27.0	14.0	9.0	0.0	0.0	94.0	1578121.0
SdC01044_CKDL210020579-1a-AK3905-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1783.0	334.0	257.0	127.0	99.0	45.0	25.0	26.0	0.0	0.0	240.0	4190086.0
SdC01044_CKDL210020579-1a-AK3905-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1616.0	289.0	258.0	123.0	97.0	53.0	28.0	26.0	1.0	0.0	445.0	4190086.0
SdC01045_CKDL210020579-1a-5UDI298-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	831.0	154.0	147.0	65.0	60.0	30.0	15.0	11.0	0.0	0.0	240.0	2585454.0
SdC01045_CKDL210020579-1a-5UDI298-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	890.0	165.0	145.0	62.0	66.0	29.0	16.0	14.0	0.0	0.0	166.0	2585454.0
SdC01046_CKDL210020579-1a-AK3905-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1467.0	314.0	243.0	95.0	78.0	60.0	34.0	9.0	1.0	0.0	142.0	4068556.0
SdC01046_CKDL210020579-1a-AK3905-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1410.0	307.0	248.0	104.0	89.0	46.0	30.0	17.0	0.0	0.0	192.0	4068556.0
SdC01047_CKDL210020579-1a-AK7761-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	790.0	169.0	140.0	46.0	47.0	24.0	13.0	16.0	0.0	0.0	133.0	2753005.0
SdC01047_CKDL210020579-1a-AK7761-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	769.0	141.0	141.0	55.0	44.0	28.0	13.0	6.0	0.0	0.0	181.0	2753005.0
