Sample	Bacteria_24k	Human	Protists_1k	Fungi_RefSeq_release	Bird	Viruses	Plant	Coral	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Leq-CMig_020-Ex1_L3_clmp.fp2_r2_screen	34458.0	3940.0	14240.0	1172.0	676.0	127.0	181.0	183.0	2.0	0.0	0.0	73412.0	1110900.0
Leq-CMig_021-Ex1_L3_clmp.fp2_r1_screen	6150.0	4719.0	25360.0	1974.0	1552.0	166.0	381.0	348.0	9.0	0.0	0.0	128679.0	2015658.0
Leq-CMig_021-Ex1_L3_clmp.fp2_r2_screen	6088.0	4708.0	25365.0	2079.0	1392.0	160.0	380.0	327.0	6.0	0.0	0.0	130581.0	2013910.0
Leq-CMig_022-Ex1_L3_clmp.fp2_r1_screen	4664.0	8207.0	48407.0	3723.0	2597.0	277.0	795.0	650.0	13.0	0.0	0.0	255141.0	3933708.0
Leq-CMig_022-Ex1_L3_clmp.fp2_r2_screen	4685.0	8322.0	49166.0	3775.0	2654.0	292.0	782.0	666.0	12.0	0.0	0.0	257952.0	3929876.0
Leq-CMig_025-Ex1_L3_clmp.fp2_r1_screen	4828.0	11892.0	74409.0	5791.0	3883.0	456.0	1166.0	966.0	14.0	0.0	0.0	358685.0	5964751.0
Leq-CMig_025-Ex1_L3_clmp.fp2_r2_screen	4901.0	11951.0	75524.0	6024.0	3883.0	448.0	1117.0	1022.0	12.0	0.0	0.0	364278.0	5957681.0
Leq-CMig_026-Ex1_L3_clmp.fp2_r1_screen	5404.0	11162.0	68882.0	5473.0	3587.0	382.0	1067.0	923.0	16.0	0.0	0.0	349388.0	5512108.0
Leq-CMig_026-Ex1_L3_clmp.fp2_r2_screen	5384.0	11315.0	69902.0	5530.0	3671.0	381.0	1132.0	898.0	22.0	0.0	0.0	355199.0	5504958.0
Leq-CMig_028-Ex1_L3_clmp.fp2_r1_screen	2655.0	4648.0	35181.0	2655.0	1749.0	264.0	534.0	463.0	9.0	0.0	0.0	175389.0	2698626.0
Leq-CMig_028-Ex1_L3_clmp.fp2_r2_screen	2660.0	4796.0	35535.0	2641.0	1867.0	261.0	560.0	421.0	5.0	0.0	0.0	178892.0	2694535.0
Leq-CMig_029-Ex1_L3_clmp.fp2_r1_screen	37093.0	7035.0	51506.0	3923.0	2445.0	298.0	766.0	663.0	7.0	0.0	0.0	252567.0	3860300.0
Leq-CMig_029-Ex1_L3_clmp.fp2_r2_screen	37105.0	6951.0	52792.0	4027.0	2412.0	339.0	833.0	635.0	9.0	0.0	0.0	255417.0	3856083.0
Leq-CMig_030-Ex1_L3_clmp.fp2_r1_screen	1637.0	1173.0	8429.0	721.0	436.0	50.0	141.0	133.0	5.0	0.0	0.0	52721.0	702690.0
Leq-CMig_030-Ex1_L3_clmp.fp2_r2_screen	1585.0	1153.0	8844.0	733.0	409.0	51.0	121.0	140.0	1.0	0.0	0.0	53100.0	701999.0
Leq-CMig_032-Ex1_L3_clmp.fp2_r1_screen	9474.0	13746.0	74977.0	6154.0	4085.0	514.0	1183.0	1031.0	27.0	0.0	0.0	390613.0	6057724.0
Leq-CMig_032-Ex1_L3_clmp.fp2_r2_screen	9526.0	13526.0	76466.0	6127.0	3943.0	538.0	1182.0	1021.0	14.0	0.0	0.0	395365.0	6051820.0
